{'episode': 77, 'reward': 237.99999999999994, 'avg_reward': np.float64(166.4769230769231), 'epsilon': np.float64(0.679770383953137), 'max_position': 88, 'steps': 501}
{'episode': 78, 'reward': 37.800000000000146, 'avg_reward': np.float64(164.84810126582278), 'epsilon': np.float64(0.6764232259614646), 'max_position': 74, 'steps': 501}
{'episode': 79, 'reward': 161.4000000000001, 'avg_reward': np.float64(164.805), 'epsilon': np.float64(0.6730927952943944), 'max_position': 90, 'steps': 501}
{'episode': 80, 'reward': 235.99999999999997, 'avg_reward': np.float64(165.68395061728395), 'epsilon': np.float64(0.6697790083576085), 'max_position': 154, 'steps': 501}
{'episode': 81, 'reward': 227.8999999999997, 'avg_reward': np.float64(166.4426829268293), 'epsilon': np.float64(0.6664817819745495), 'max_position': 70, 'steps': 501}
{'episode': 82, 'reward': 240.40000000000012, 'avg_reward': np.float64(167.33373493975904), 'epsilon': np.float64(0.6632010333843326), 'max_position': 88, 'steps': 501}
{'episode': 83, 'reward': 226.09999999999962, 'avg_reward': np.float64(168.03333333333336), 'epsilon': np.float64(0.6599366802396673), 'max_position': 70, 'steps': 501}
{'episode': 84, 'reward': 226.39999999999955, 'avg_reward': np.float64(168.72), 'epsilon': np.float64(0.6566886406047925), 'max_position': 70, 'steps': 501}
{'episode': 85, 'reward': 219.3999999999997, 'avg_reward': np.float64(169.3093023255814), 'epsilon': np.float64(0.6534568329534176), 'max_position': 71, 'steps': 501}
{'episode': 86, 'reward': 222.09999999999968, 'avg_reward': np.float64(169.916091954023), 'epsilon': np.float64(0.6502411761666778), 'max_position': 70, 'steps': 501}
{'episode': 87, 'reward': 1210.5000000000002, 'avg_reward': np.float64(181.7409090909091), 'epsilon': np.float64(0.6472454754597562), 'max_position': 197, 'steps': 469}
{'episode': 88, 'reward': 240.89999999999972, 'avg_reward': np.float64(182.4056179775281), 'epsilon': np.float64(0.644060859751231), 'max_position': 70, 'steps': 501}
{'episode': 89, 'reward': 1189.4, 'avg_reward': np.float64(193.59444444444443), 'epsilon': np.float64(0.6414854765120148), 'max_position': 197, 'steps': 407}
{'episode': 90, 'reward': 240.59999999999968, 'avg_reward': np.float64(194.110989010989), 'epsilon': np.float64(0.6383296462305132), 'max_position': 70, 'steps': 501}
{'episode': 91, 'reward': 246.6, 'avg_reward': np.float64(194.6815217391304), 'epsilon': np.float64(0.6351895871189533), 'max_position': 88, 'steps': 501}
{'episode': 92, 'reward': 255.89999999999986, 'avg_reward': np.float64(195.33978494623653), 'epsilon': np.float64(0.6320652203613721), 'max_position': 155, 'steps': 501}
{'episode': 93, 'reward': 57.00000000000012, 'avg_reward': np.float64(193.86808510638295), 'epsilon': np.float64(0.6289564675356879), 'max_position': 91, 'steps': 501}
{'episode': 94, 'reward': 240.49999999999997, 'avg_reward': np.float64(194.35894736842104), 'epsilon': np.float64(0.6258632506117304), 'max_position': 88, 'steps': 501}
{'episode': 95, 'reward': 261.3999999999999, 'avg_reward': np.float64(195.05729166666666), 'epsilon': np.float64(0.6227854919492832), 'max_position': 154, 'steps': 501}
{'episode': 96, 'reward': 1175.4000000000003, 'avg_reward': np.float64(205.1639175257732), 'epsilon': np.float64(0.6208093879363089), 'max_position': 197, 'steps': 323}
{'episode': 97, 'reward': 237.29999999999964, 'avg_reward': np.float64(205.4918367346939), 'epsilon': np.float64(0.6177568858054256), 'max_position': 70, 'steps': 501}
{'episode': 98, 'reward': 1183.2000000000003, 'avg_reward': np.float64(215.36767676767678), 'epsilon': np.float64(0.6157061352522207), 'max_position': 197, 'steps': 338}
{'episode': 99, 'reward': 186.99999999999977, 'avg_reward': np.float64(215.084), 'epsilon': np.float64(0.6126791364780315), 'max_position': 72, 'steps': 501}
{'episode': 100, 'reward': 69.30000000000027, 'avg_reward': np.float64(215.21599999999998), 'epsilon': np.float64(0.6096672650420771), 'max_position': 92, 'steps': 501}
{'episode': 101, 'reward': 249.3, 'avg_reward': np.float64(217.47799999999998), 'epsilon': np.float64(0.6066704453459254), 'max_position': 88, 'steps': 501}
{'episode': 102, 'reward': 238.39999999999966, 'avg_reward': np.float64(219.153), 'epsilon': np.float64(0.6036886021689448), 'max_position': 70, 'steps': 501}
{'episode': 103, 'reward': 239.29999999999964, 'avg_reward': np.float64(221.34599999999995), 'epsilon': np.float64(0.600721660666417), 'max_position': 70, 'steps': 501}
{'episode': 104, 'reward': 242.89999999999972, 'avg_reward': np.float64(222.921), 'epsilon': np.float64(0.5977695463676578), 'max_position': 70, 'steps': 501}
{'episode': 105, 'reward': 238.60000000000008, 'avg_reward': np.float64(224.32199999999997), 'epsilon': np.float64(0.5948321851741479), 'max_position': 88, 'steps': 501}
